Timestamp,Object,Confidence,Bounding Box
2025-03-06 03:22:08.251979,toothbrush,0.66,"(199, 55, 685, 1059)"
2025-03-06 03:22:08.313248,person,0.65,"(573, 42, 1917, 1064)"
2025-03-06 03:22:08.378762,person,0.81,"(266, 111, 1893, 1068)"
2025-03-06 03:22:08.511816,toothbrush,0.68,"(322, 165, 727, 1068)"
2025-03-06 03:22:08.578316,toothbrush,0.71,"(314, 168, 708, 1065)"
2025-03-06 03:22:08.778399,toothbrush,0.52,"(305, 168, 692, 1065)"
2025-03-06 03:22:08.848063,toothbrush,0.64,"(308, 173, 692, 1067)"
2025-03-06 03:22:08.912286,toothbrush,0.67,"(309, 173, 693, 1066)"
2025-03-06 03:22:08.979373,toothbrush,0.55,"(311, 171, 696, 1066)"
2025-03-06 03:22:09.047818,toothbrush,0.60,"(321, 169, 702, 1066)"
2025-03-06 03:22:09.114380,toothbrush,0.65,"(329, 175, 707, 1067)"
2025-03-06 03:22:09.179153,toothbrush,0.73,"(336, 187, 709, 1069)"
2025-03-06 03:22:09.246685,toothbrush,0.80,"(347, 208, 710, 1067)"
2025-03-06 03:22:09.247203,person,0.51,"(625, 71, 1918, 1065)"
2025-03-06 03:22:09.311683,toothbrush,0.77,"(356, 221, 714, 1065)"
2025-03-06 03:22:09.378195,toothbrush,0.75,"(364, 222, 723, 1065)"
2025-03-06 03:22:09.445550,toothbrush,0.76,"(366, 215, 730, 1070)"
2025-03-06 03:22:09.512375,toothbrush,0.82,"(364, 210, 730, 1068)"
2025-03-06 03:22:09.512675,person,0.51,"(329, 35, 1907, 1067)"
2025-03-06 03:22:09.578023,toothbrush,0.87,"(360, 208, 722, 1066)"
2025-03-06 03:22:09.646436,toothbrush,0.85,"(356, 210, 718, 1067)"
2025-03-06 03:22:09.711749,toothbrush,0.91,"(355, 213, 714, 1067)"
2025-03-06 03:22:09.781914,toothbrush,0.84,"(356, 215, 712, 1066)"
2025-03-06 03:22:09.848285,toothbrush,0.91,"(357, 215, 713, 1067)"
2025-03-06 03:22:09.912246,toothbrush,0.90,"(356, 214, 712, 1066)"
2025-03-06 03:22:09.980655,toothbrush,0.92,"(357, 211, 714, 1066)"
2025-03-06 03:22:10.049253,toothbrush,0.92,"(359, 212, 716, 1067)"
2025-03-06 03:22:10.113647,toothbrush,0.93,"(360, 212, 717, 1067)"
2025-03-06 03:22:10.180234,toothbrush,0.93,"(359, 210, 717, 1068)"
2025-03-06 03:22:10.248066,toothbrush,0.94,"(360, 207, 717, 1067)"
2025-03-06 03:22:10.314007,toothbrush,0.92,"(362, 205, 720, 1068)"
2025-03-06 03:22:10.379613,toothbrush,0.90,"(363, 202, 721, 1068)"
2025-03-06 03:22:10.380103,person,0.56,"(636, 36, 1919, 1067)"
2025-03-06 03:22:10.449697,toothbrush,0.83,"(363, 205, 721, 1067)"
2025-03-06 03:22:10.512959,toothbrush,0.92,"(365, 209, 720, 1067)"
2025-03-06 03:22:10.579950,toothbrush,0.91,"(366, 213, 719, 1066)"
2025-03-06 03:22:10.647546,toothbrush,0.93,"(365, 213, 719, 1067)"
2025-03-06 03:22:10.712680,toothbrush,0.91,"(364, 208, 718, 1068)"
2025-03-06 03:22:10.780052,toothbrush,0.86,"(368, 193, 720, 1068)"
2025-03-06 03:22:10.848959,toothbrush,0.84,"(377, 177, 721, 1062)"
2025-03-06 03:22:12.301408,person,0.93,"(989, 0, 1918, 1061)"
2025-03-06 03:22:12.372611,person,0.90,"(934, 5, 1917, 1060)"
2025-03-06 03:22:12.443920,person,0.88,"(900, 3, 1917, 1063)"
2025-03-06 03:22:12.508437,person,0.89,"(865, 5, 1917, 1062)"
2025-03-06 03:22:12.578736,person,0.85,"(839, 4, 1919, 1059)"
2025-03-06 03:22:12.663069,person,0.88,"(793, 3, 1916, 1061)"
2025-03-06 03:22:12.663296,person,0.53,"(2, 0, 1138, 1068)"
2025-03-06 03:22:12.738424,person,0.78,"(739, 0, 1917, 1059)"
2025-03-06 03:22:12.738850,cell phone,0.75,"(2, 788, 204, 956)"
2025-03-06 03:22:12.738986,person,0.71,"(109, 0, 1915, 1066)"
2025-03-06 03:22:12.802584,person,0.78,"(29, 0, 1916, 1068)"
2025-03-06 03:22:12.802778,person,0.72,"(681, 0, 1917, 1060)"
2025-03-06 03:22:12.867978,person,0.84,"(671, 0, 1916, 1060)"
2025-03-06 03:22:12.868384,person,0.81,"(136, 1, 1915, 1066)"
2025-03-06 03:22:12.936906,person,0.87,"(643, 0, 1916, 1062)"
2025-03-06 03:22:13.001572,person,0.88,"(615, 1, 1916, 1062)"
2025-03-06 03:22:13.067858,person,0.88,"(600, 0, 1916, 1065)"
2025-03-06 03:22:13.137029,person,0.88,"(583, 0, 1916, 1063)"
2025-03-06 03:22:13.202051,person,0.89,"(589, 0, 1917, 1063)"
2025-03-06 03:22:13.267347,person,0.85,"(583, 0, 1918, 1062)"
2025-03-06 03:22:13.337418,person,0.89,"(571, 1, 1917, 1063)"
2025-03-06 03:22:13.404200,person,0.89,"(566, 4, 1917, 1063)"
2025-03-06 03:22:13.476731,person,0.88,"(586, 2, 1918, 1063)"
2025-03-06 03:22:13.535436,person,0.85,"(588, 2, 1917, 1063)"
2025-03-06 03:22:13.614126,person,0.87,"(585, 0, 1917, 1063)"
2025-03-06 03:22:13.670088,person,0.89,"(576, 0, 1918, 1063)"
2025-03-06 03:22:13.736464,person,0.89,"(552, 0, 1917, 1063)"
2025-03-06 03:22:13.802662,person,0.89,"(550, 3, 1917, 1063)"
2025-03-06 03:22:13.867987,person,0.91,"(554, 5, 1917, 1062)"
2025-03-06 03:22:13.936903,person,0.90,"(559, 1, 1917, 1066)"
2025-03-06 03:22:14.002748,person,0.90,"(562, 3, 1917, 1063)"
2025-03-06 03:22:14.069932,person,0.87,"(562, 1, 1918, 1062)"
2025-03-06 03:22:14.158538,person,0.91,"(563, 4, 1918, 1061)"
2025-03-06 03:22:14.235412,person,0.91,"(604, 3, 1915, 1062)"
2025-03-06 03:22:14.300424,person,0.89,"(598, 0, 1916, 1063)"
2025-03-06 03:22:14.368965,person,0.87,"(599, 3, 1916, 1061)"
2025-03-06 03:22:14.436827,person,0.85,"(611, 0, 1916, 1060)"
2025-03-06 03:22:14.501994,person,0.77,"(638, 0, 1916, 1058)"
2025-03-06 03:22:14.567371,person,0.75,"(618, 0, 1916, 1059)"
2025-03-06 03:22:14.637209,person,0.67,"(606, 0, 1915, 1059)"
2025-03-06 03:22:14.703766,person,0.81,"(626, 0, 1916, 1059)"
2025-03-06 03:22:14.769387,person,0.74,"(615, 0, 1915, 1061)"
2025-03-06 03:22:14.837452,person,0.71,"(380, 0, 1914, 1065)"
2025-03-06 03:22:14.901767,person,0.83,"(635, 2, 1914, 1060)"
2025-03-06 03:22:14.974627,person,0.80,"(740, 1, 1916, 1057)"
2025-03-06 03:22:15.036886,person,0.61,"(12, 0, 1915, 1070)"
2025-03-06 03:22:15.037078,person,0.51,"(1181, 5, 1918, 568)"
2025-03-06 03:22:15.101580,person,0.78,"(1011, 5, 1918, 1059)"
2025-03-06 03:22:15.169311,person,0.78,"(1110, 3, 1918, 1059)"
2025-03-06 03:22:15.238550,person,0.91,"(1128, 0, 1916, 1059)"
2025-03-06 03:22:15.302021,person,0.88,"(1128, 1, 1916, 1061)"
2025-03-06 03:22:15.369815,person,0.88,"(1130, 1, 1916, 1058)"
2025-03-06 03:22:15.436554,person,0.88,"(1192, 6, 1917, 1062)"
2025-03-06 03:22:15.501747,person,0.89,"(1228, 6, 1918, 1064)"
2025-03-06 03:22:15.568406,person,0.82,"(1262, 9, 1918, 1064)"
2025-03-06 03:22:15.658676,person,0.82,"(1346, 8, 1917, 1062)"
2025-03-06 03:22:15.715800,person,0.59,"(1446, 0, 1917, 1062)"
2025-03-06 03:22:15.852049,remote,0.66,"(592, 849, 764, 1031)"
2025-03-06 03:22:15.852359,person,0.62,"(1, 391, 756, 1066)"
2025-03-06 03:22:18.086596,person,0.74,"(64, 380, 1219, 1072)"
2025-03-06 03:22:18.087012,bed,0.64,"(18, 325, 1343, 1069)"
2025-03-06 03:22:18.145098,person,0.75,"(136, 383, 1230, 1072)"
2025-03-06 03:22:18.145341,bed,0.66,"(23, 334, 1346, 1066)"
2025-03-06 03:22:18.211575,person,0.72,"(43, 386, 1228, 1071)"
2025-03-06 03:22:18.275164,person,0.68,"(89, 387, 1214, 1072)"
2025-03-06 03:22:18.275723,bed,0.54,"(34, 338, 1355, 1064)"
2025-03-06 03:22:18.342483,person,0.68,"(181, 388, 1060, 1071)"
2025-03-06 03:22:18.429900,person,0.72,"(142, 404, 1214, 1071)"
2025-03-06 03:22:18.507466,person,0.83,"(33, 425, 1219, 1071)"
2025-03-06 03:22:18.575752,person,0.79,"(74, 444, 1228, 1072)"
2025-03-06 03:22:18.640583,person,0.69,"(110, 452, 1218, 1073)"
2025-03-06 03:22:18.641015,bed,0.51,"(63, 417, 1343, 1065)"
2025-03-06 03:22:18.710617,person,0.75,"(128, 452, 1225, 1072)"
2025-03-06 03:22:18.769887,person,0.79,"(56, 440, 1224, 1072)"
2025-03-06 03:22:18.845136,person,0.82,"(3, 417, 1233, 1069)"
2025-03-06 03:22:18.845441,person,0.55,"(1762, 190, 1919, 1066)"
2025-03-06 03:22:18.904000,person,0.60,"(3, 372, 1247, 1074)"
2025-03-06 03:22:18.971138,person,0.76,"(7, 364, 1316, 1074)"
2025-03-06 03:22:19.038088,person,0.61,"(8, 376, 1347, 1070)"
2025-03-06 03:22:19.102661,person,0.60,"(28, 411, 1353, 1072)"
2025-03-06 03:22:19.169668,person,0.52,"(31, 460, 1216, 1070)"
2025-03-06 03:22:19.258915,person,0.71,"(0, 510, 1182, 1069)"
2025-03-06 03:22:19.336763,person,0.54,"(10, 558, 1138, 1073)"
2025-03-06 03:22:19.406027,person,0.79,"(1314, 4, 1918, 1044)"
2025-03-06 03:22:19.406428,person,0.72,"(1, 601, 1085, 1074)"
2025-03-06 03:22:19.406531,remote,0.63,"(1344, 563, 1521, 704)"
2025-03-06 03:22:19.469341,person,0.68,"(1252, 5, 1917, 1048)"
2025-03-06 03:22:19.469556,person,0.59,"(1, 676, 839, 1074)"
2025-03-06 03:22:19.536942,person,0.83,"(1211, 6, 1918, 1055)"
2025-03-06 03:22:19.604014,person,0.94,"(1179, 6, 1919, 1070)"
2025-03-06 03:22:19.604208,person,0.62,"(1, 764, 699, 1069)"
2025-03-06 03:22:19.670572,person,0.96,"(1138, 7, 1919, 1064)"
2025-03-06 03:22:19.670859,person,0.67,"(0, 816, 641, 1071)"
2025-03-06 03:22:19.751347,person,0.94,"(1125, 6, 1920, 1064)"
2025-03-06 03:22:19.818926,person,0.95,"(1180, 9, 1920, 1064)"
2025-03-06 03:22:19.884976,person,0.89,"(1174, 3, 1919, 1066)"
2025-03-06 03:22:19.951001,person,0.74,"(1129, 2, 1920, 1066)"
2025-03-06 03:22:20.018423,person,0.66,"(1463, 25, 1919, 1067)"
2025-03-06 03:22:20.018620,person,0.60,"(3, 580, 1090, 1069)"
2025-03-06 03:22:20.084893,person,0.72,"(1, 590, 1003, 1068)"
2025-03-06 03:22:20.085483,person,0.54,"(1303, 17, 1918, 1065)"
2025-03-06 03:22:20.151792,person,0.87,"(898, 2, 1913, 1069)"
2025-03-06 03:22:20.152050,person,0.72,"(3, 650, 996, 1071)"
2025-03-06 03:22:20.219166,person,0.79,"(894, 2, 1913, 1065)"
2025-03-06 03:22:20.219396,person,0.73,"(4, 607, 978, 1069)"
2025-03-06 03:22:20.284482,person,0.90,"(880, 2, 1918, 1067)"
2025-03-06 03:22:20.284922,person,0.80,"(0, 606, 988, 1069)"
2025-03-06 03:22:20.351087,person,0.69,"(5, 586, 1002, 1071)"
2025-03-06 03:22:20.351281,person,0.58,"(866, 3, 1914, 1061)"
2025-03-06 03:22:20.419400,person,0.74,"(2, 504, 1031, 1071)"
2025-03-06 03:22:20.419640,person,0.60,"(873, 3, 1916, 1062)"
2025-03-06 03:22:20.483979,person,0.71,"(3, 422, 1222, 1068)"
2025-03-06 03:22:20.538152,person,0.65,"(1258, 3, 1918, 1069)"
2025-03-06 03:22:20.605370,person,0.86,"(0, 502, 1106, 1073)"
2025-03-06 03:22:20.605627,person,0.65,"(1272, 4, 1918, 1068)"
2025-03-06 03:22:20.694030,person,0.92,"(872, 2, 1918, 1072)"
2025-03-06 03:22:20.694372,person,0.85,"(18, 471, 1110, 1073)"
2025-03-06 03:22:20.770624,person,0.92,"(861, 0, 1918, 1072)"
2025-03-06 03:22:20.771017,person,0.90,"(0, 400, 1078, 1072)"
2025-03-06 03:22:20.839162,person,0.92,"(857, 2, 1917, 1073)"
2025-03-06 03:22:20.839490,person,0.92,"(0, 336, 1050, 1071)"
2025-03-06 03:22:20.906386,person,0.94,"(1, 298, 967, 1068)"
2025-03-06 03:22:20.906592,person,0.86,"(854, 3, 1916, 1073)"
2025-03-06 03:22:22.192219,person,0.95,"(880, 9, 1917, 1065)"
2025-03-06 03:22:22.192632,person,0.89,"(0, 352, 946, 1069)"
2025-03-06 03:22:22.278964,person,0.95,"(878, 9, 1917, 1064)"
2025-03-06 03:22:22.279305,person,0.93,"(0, 356, 988, 1070)"
2025-03-06 03:22:22.343426,person,0.95,"(877, 9, 1916, 1063)"
2025-03-06 03:22:22.343841,person,0.91,"(2, 355, 1013, 1071)"
2025-03-06 03:22:22.409881,person,0.95,"(878, 9, 1916, 1065)"
2025-03-06 03:22:22.410172,person,0.91,"(1, 354, 1026, 1070)"
2025-03-06 03:22:22.479780,person,0.95,"(874, 9, 1916, 1064)"
2025-03-06 03:22:22.480109,person,0.93,"(0, 345, 1016, 1070)"
2025-03-06 03:22:22.542977,person,0.95,"(881, 8, 1916, 1065)"
2025-03-06 03:22:22.543170,person,0.92,"(0, 343, 1028, 1069)"
2025-03-06 03:22:22.617543,person,0.94,"(887, 8, 1916, 1064)"
